id,Titre en anglais,Titre en Japonais,Editeurs,Code JPN,Code USA,Sortie JPN,Sortie USA,Main Category,Sub Category
0742,NHL Pro Hockey '94,NHLプロホッケー'94,エレクトロニック・アーツ・ビクター / Electronic Arts Victor,SHVC-4H,,1994-04-08,,Sports,Hockey
0743,Nice de Shot World Course Selections,ナイスDEショット,アスク講談社 / 魔法株式会社 / Ask Kodansha / Magical Company,SHVC-NN,,1994-04-29,,Sports,Golf
0744,Nichibutsu Arcade Classics,ニチブツ アーケード クラシックス,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AACJ-JPN,,1995-05-26,,Arcade,Retro
0745,Nichibutsu Arcade Classics 2 - Heiankyo Alien,ニチブツアーケードクラシックス2 平安京エイリアン,日本物産（ニチブツ） / 日本シスコン / Nihon Bussan (Nichibutsu) / Nihon Syscom,SHVC-AAEJ-JPN,,1995-12-15,,Arcade,Retro
0746,Nichibutsu Collection 1,ニチブツコレクション1 攻略カジノバー, 祗園花 / 日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AECJ-JPN,,1996-11-29,,Table Game,Cards
0747,Nichibutsu Collection 2,ニチブツコレクション2 麻雀繁盛記 五目・将棋—定跡研究篇—,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-A2BJ-JPN,,1996-12-27,,Table Game,
0748,Nigel Mansell's F1 Challenge,ナイジェル・マンセルF1チャレンジ,インフォコムシステムズ / Infocom / Gremlin Graphics,SHVC-NC,,1993-03-19,,Racing,Formule 1
0749,Ninja Ryukenden Tomoe,忍者龍剣伝 巴,テクモ / Tecmo,SHVC-ANRJ-JPN,SNS-ANRE-USA,1995-08-11,,Platformer,
0750,Nintama Rantarou,忍たま乱太郎,カルチャーブレーン / Culture Brain,SHVC-ANTJ-JPN,,1995-07-28,,Platformer,
0751,Nintama Rantarou 2,忍たま乱太郎2,カルチャーブレーン / Culture Brain,SHVC-A2NJ-JPN,,1996-03-29,,Platformer,
0752,Nintama Rantarou 3,忍たま乱太郎3,カルチャーブレーン / Culture Brain,SHVC-AEXJ-JPN,,1997-02-28,,Platformer,
0753,Nintama Rantarou Puzzle: Ninjutsu Gakuen Puzzle no Maki,パズル忍たま乱太郎 〜忍術学園パズル大会の段〜,カルチャーブレーン / Culture Brain,SHVC-ANVJ-JPN,,1996-06-28,,Puzzle,Matching
0754,Nintama Rantarou Special,忍たま乱太郎すぺしゃる,カルチャーブレーン / Culture Brain,SHVC-ANXJ-JPN,,1996-08-09,,Aventure,
0755,Nishijin Pachinko Monogatari,西陣パチンコ物語,日本ソフトシステム / ケイエスエス / Nihon Soft System / KSS,SHVC-ANPJ-JPN,,1995-06-23,,Gambling,Pachinko
