id,Titre en anglais,Titre en Japonais,Editeurs,Code JPN,Code USA,Sortie JPN,Sortie USA,Main Category,Sub Category
0001,2020 Super Baseball,2020年 スーパーベースボール,ケイ・アミューズメントリース / エス・エヌ・ケイ / K. Amusement Leasing / SNK,SHVC-SA,SNS-SA,1993-03-12,1993-01-01,Sports,Baseball
0002,3 Jigen Kakutou Ballz,3次元格闘ボールズ,メディアリング / Media Rings / PF.Magic,SHVC-ABZJ-JPN,SNS-ABZE-USA,1995-04-28,1995-04-27,Fighting,Versus
0003,3x3 Eyes - Sazanaizu Jyumahoukan,3x3 EYES 〜獣魔奉還〜 [サザンアイズ（三只眼）],バンプレスト / バンプレ企画 / Banpresto,SHVC-A83J-JPN,,1995-12-22,,Aventure,
0004,3x3 Eyes - Sazanaizu Seima Kourinden,3x3 EYES サザンアイズ（三只眼）聖魔降臨伝,バンダイ / ユタカ / Bandai / Yutaka,SHVC-33,,1992-07-28,,RPG,
0005,4 Nin Shougi,4人将棋,プランニングオフィスワダ（パウ） / Planning Office WADA (POW),SHVC-AYSJ-JPN,,1995-07-14,,Table Game,Shougi
0006,46 Okunen Monogatari - Harukanaru Eden he,46億年物語 —はるかなるエデンへ—,エニックス / ゲームプラン21 / アルマニック / Enix / Gameplan 21 / Almanic,SHVC-46,SNS-46,1992-12-21,1993-07-01,RPG,Action
0007,ABC Monday Night Football,ABC マンデーナイトフットボール,データイースト / 空想科学 / Data East / Kuusoukagaku,SHVC-N5,SNS-N5,1993-11-26,1993-01-01,Sports,Football
0008,Accele Brid,アクセルブリッド,トミー / 元気 / Tomy / Genki,SHVC-AY,,1993-11-26,,SHMUP,Behind
0009,Ace o Nerae!,エースをねらえ！,日本テレネット / Telenet Japan,SHVC-EE,,1993-12-22,,Sports,Tennis
0010,Acrobat Mission,アクロバットミッション,テイチク / ユー・ピー・エル / Teichiku / UPL,SHVC-2T,,1992-09-11,,SHMUP,Vertical
0011,Action Pachio,アクションパチ夫,ココナッツ・ジャパン / Coconuts Japan,SHVC-PE,,1993-04-09,,Platformer,
0012,ActRaiser,アクトレイザー,エニックス / クインテット / Enix / Quintet,SHVC-AR,SNS-AR-USA,1990-12-16,1991-11-01,RPG,Action
0013,ActRaiser 2 - Chinmoku heno Seisen,アクトレイザー2 〜沈黙への聖戦〜,エニックス / クインテット / Enix / Quintet,SHVC-A8,SNS-A8-USA,1993-10-29,1993-11-01,RPG,Action
0014,Advanced Dungeons & Dragons - Eye of the Beholder,AD&D アイ・オブ・ザ・ビホルダー,カプコン / Capcom / TSR,SHVC-IB,,1994-03-18,,RPG,First Person
0015,Aguri Suzuki no F-1 Super Driving,鈴木亜久里のF-1スーパードライビング,ロジーク（ジー・アミューズメンツ） / LOZC G. Amusements / A. Company,SHVC-GF,,1992-07-17,,Racing,Formule 1
0016,AIII S.V. - A Ressha de Ikou 3 Super Version,A III S.V. A列車で行こう3 スーパーバージョン,パック・イン・ビデオ / アートディンク / Pack-in-Video / Artdink,SHVC-ATGJ-JPN,,1995-09-29,,Strategy,
0017,Air Management - Oozora ni Kakeru,エアーマネジメント 大空に賭ける,光栄 / Koei,SHVC-AL,,1992-04-05,,Strategy,Management
0018,Air Management 2 - Koukuu Ou wo Mezase,エアーマネジメントII 航空王をめざせ,光栄 / Koei,SHVC-AG,,1993-04-02,,Strategy,Management
0019,Akagawa Jirou Majotachi no Nemuri,魔女たちの眠り 赤川次郎,パック・イン・ビデオ / Pack-in-Video,SHVC-AAMJ-JPN,,1995-11-24,,Visual Novel,Horror
0020,Akazukin Cha Cha,赤ずきんチャチャ,トミー / Tomy,SHVC-ACJJ-JPN,,1996-08-09,,RPG,
0021,Akumajou Dracula,悪魔城ドラキュラ,コナミ / Konami,SHVC-AD,,1991-10-31,,Platformer,Action
0022,Akumajou Dracula XX,ダブルエックス 悪魔城ドラキュラXX,コナミ / Konami,SHVC-ADZJ-JPN,SNS-ADZE-USA,1995-07-21,,Platformer,Action
0023,Aladdin,アラジン,カプコン / Capcom,SHVC-RJ,SNS-RJ-USA,1993-11-26,1993-01-01,Platformer,
0024,Albert Odyssey,アルバートオデッセイ,サンソフト（サン電子） / 東海エンジニアリング / Sunsoft (Sun Electronics) / Tokai Engineering,SHVC-AO,,1993-03-05,,RPG,
0025,Albert Odyssey 2 - Jashin no Taidou,アルバートオデッセイ2 邪神の胎動,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-AO2J-JPN,,1994-12-22,,RPG,
0026,Alcahest,アルカエスト,スクウェア / ハル研究所 / Square / HAL Laboratory,SHVC-LX,,1993-12-17,,Aventure,
0027,Alice no Paint Adventure,アリスのペイントアドベンチャー,エポック社 / 酒田エス・エー・エス / Epoch / Sakata SAS,SHVC-AALJ-JPN,,1995-09-15,,Art,Dessin
0028,Alien 3,エイリアン3,アクレイムジャパン / Acclaim Japan / Probe,SHVC-A3,SNS-A3-USA,1993-07-09,1993-05-01,Platformer,
0029,Alien vs. Predator,エイリアンVS.プレデター,アイ・ジー・エス / アクティビジョン / IGS (Information Global Service) / Activision,SHVC-AP,,1993-01-08,,Beat 'em All,
0030,America Oudan Ultra Quiz,アメリカ横断ウルトラクイズ,トミー / Tomy,SHVC-UQ,,1992-11-20,,Quiz,
0031,American Battle Dome,アメリカンバトルドーム,ツクダオリジナル / Tsukuda Original,SHVC-A5BJ-JPN,,1995-12-08,,Pinball,
0032,Ancient Magic - Bazoo! Mahou Sekai,バズー！魔法世界,ホット・ビィ / HOT-B,SHVC-VM,,1993-07-23,,RPG,
0033,Andre Agassi Tennis,アンドレ・アガシ テニス,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-7A,SNS-7A,1994-03-31,1994-01-01,Sports,Tennis
0034,Angelique,アンジェリーク,光栄 / Koei,SHVC-QE,,1994-09-23,,Strategy,
0035,Angelique Voice Fantasy,アンジェリーク ヴォイス・ファンタジー with ボイサーくん,光栄 / Koei,SHVC-AQLJ-JPN,,1996-03-29,,Strategy,
0036,Animal Buranden - Brutal,アニマル武乱伝 ブルータル,ケムコ（コトブキシステム） / Kemco / Eurocom / Cybersoft,SHVC-ABLJ-JPN,SNS-ABLE-USA,1994-12-22,1994-12-01,Fighting,Versus
0037,Animaniacs,アニマニアクス,コナミ / Konami,SHVC-ANCJ-JPN,SNS-ANCE-USA,1997-03-07,1994-01-01,Platformer,
0038,Aoki Densetsu Shoot!,蒼き伝説シュート！,ケイエスエス / KSS,SHVC-A3KJ-JPN,,1994-12-16,,Sports,Soccer
0039,Appleseed - Prometheus no Shintaku,アップルシード プロメテウスの神託,ヴィジット / VISIT,SHVC-7X,,1994-08-26,,Beat 'em All,
0040,Aqutallion,アクタリオン,テクモ / テクモソフトプロダクツ / Tecmo,SHVC-AQ,SNS-AQ,1993-11-05,1995-07-01,RPG,
0041,Arabian Nights - Sabaku no Seirei Ou,アラビアンナイト 〜砂漠の精霊王〜,タカラ / パンドラボックス / Takara / Pandora Box,SHVC-AAJJ-JPN,,1996-06-14,,RPG,
0042,Araiguma Rascal (Raccoon Rascal),あらいぐまラスカル,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-R9,,1994-03-25,,Puzzle,Matching
0043,Arcus Spirits,アークス・スピリッツ,サミー / ウルフチーム（日本テレネット） / Sammy / Telenet Japan (Wolfteam),SHVC-A4,,1993-10-22,,RPG,Action
0044,Ardy Lightfoot,アルディライトフット,アスキー / ASCII,SHVC-A9,SNS-A9,1993-11-26,1996-02-01,Platformer,
0045,Area 88,エリア88,カプコン / Capcom,SHVC-E8,SNS-E8,1991-07-26,1991-09-01,SHMUP,Horizontal
0046,Aretha,アレサ,やのまん / 日本アートメディア / Yanoman / Japan Art Media (JAM),SHVC-YJ,,1993-11-26,,RPG,
0047,Aretha 2 - Ariel no Fushigi na Bouken,アレサII アリエルの不思議な旅,やのまん / 日本アートメディア / Yanoman / Japan Art Media (JAM),SHVC-AREJ-JPN,,1994-12-02,,RPG,
0048,Arkanoid - Doh It Again,アルカノイド,タイトー / Taito,SHVC-A6,SNS-A6,1997-01-15,1997-11-01,Arcade,Retro
0049,Asahi Shinbun Rensai - Katou Ichi-Ni-San Shougi - Shingiryuu,朝日新聞連載 加藤一二三九段将棋 心技流,バリエ / Varie,SHVC-A23J-JPN,,1995-09-22,,Table Game,Shougi
0050,Asameshimae Nyanko,あさめしまえにゃんこ,バンプレスト / ザムス / Banpresto / Zamuse / J-Force,SHVC-ZC,,1994-03-18,,Puzzle,
0051,Ashita no Joe,あしたのジョー,ケイ・アミューズメントリース / K. Amusement Leasing,SHVC-AJ,,1992-11-27,,Sports,Boxing
0052,Assault Suits Valken,重装機兵ヴァルケン,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-AV,,1992-12-18,,Platformer,
0053,Axelay,アクスレイ,コナミ / コナミ エンタテイメント / Konami,SHVC-AX,SNS-AX,1992-09-11,1992-09-01,SHMUP,Vertical
0054,Bahamut Lagoon,バハムート ラグーン,スクウェア / Square,SHVC-AXBJ-JPN,,1996-02-09,,RPG,
0055,Bakukyu Rennpatsu!! Super B-Daman,爆球連発！！スーパービーダマン,ハドソン / Hudson,SHVC-AAIJ-JPN,,1997-12-19,,Puzzle,
0056,Bakumatsu Kourinden Oni,幕末降臨伝ONI,バンプレスト / パンドラボックス / Banpresto / Pandora Box,SHVC-A20J-JPN,,1996-02-02,,RPG,
0057,Bakutou Dodgers - Bumps-Shima wa Oosawagi,爆投ドッチャーズ バンプス島は大さわぎ,ビー・ピー・エス / 元気 / Bullet-Proof Software / Genki,SHVC-ABDJ-JPN,,1994-10-28,,Puzzle,Bomberman
0058,Ball Bullet Gun - Survival Game Simulation,ボール・ブレット・ガン サバイバルゲーム,アイマックス / I'MAX,SHVC-AAGJ-JPN,,1995-12-01,,Strategy,
0059,Barbarossa,バルバロッサ,サミー / システムソフト / Sammy / System Soft,SHVC-BK,,1992-11-27,,Strategy,
0060,Barkley's Power Dunk,バークレーのパワーダンク,デンズ（アイ・ティー・シー） / DEN'Z(ITC),SHVC-I7,,1994-09-30,,Sports,Basketball
0061,Bass Masters Classic,バスマスターズ クラシック,アルトロン / Altron,SHVC-ABAJ-JPN,SNS-ABAE-USA,1995-07-28,1995-06-01,Sports,Pêche
0062,Bastard!! - Ankoku no Hakaishin,バスタード！！ —暗黒の破壊神—,コブラチーム / バンダイ / Cobra Team / Bandai,SHVC-VC,,1994-01-28,,Fighting,Versus
0063,Batman Forever,バットマン フォーエヴァー,アクレイムジャパン / Acclaim Japan / Probe Entertainment,SHVC-A3BJ-JPN,,1995-10-27,,Beat 'em All,
0064,Batman Returns,バットマン リターンズ,コナミ / コナミ エンタテイメント / Konami,SHVC-BJ,SNS-BJ-USA,1993-02-26,1993-04-01,Beat 'em All,
0065,Battle Blaze,バトルブレイズ,サミー / Sammy,SHVC-BZ,SNS-BZ,1992-05-01,1993-12-01,Fighting,Versus
0066,Battle Commander - Hachibushu Shura no Heihou,バトルコマンダー 八武衆、修羅の兵法,バンプレスト / Banpresto,SHVC-BC,,1991-12-29,,Strategy,
0067,Battle Cross,バトルクロス,イマジニアズーム / Imagineer-Zoom,SHVC-ABCJ-JPN,,1994-12-09,,Racing,Fun
0068,Battle Dodgeball 2 Gundam,バトルドッジボールII,バンプレスト / Banpresto,SHVC-D2,,1993-07-23,,Sports,Dodgeball
0069,Battle Dodgeball Gundam,バトルドッジボール,バンプレスト / Banpresto,SHVC-BD,,1991-07-20,,Sports,Dodgeball
0070,Battle Grand Prix,バトルグランプリ,ナグザット / Naxat Soft,SHVC-BG,SNS-BG,1992-03-27,1993-04-01,Racing,Formule 1
0071,Battle Jockey,バトルジョッキー,ヴァージンゲーム / ナムコ / Virgin Games / Namco,SHVC-AV2J-JPN,,1994-12-22,,Sports,Horse
0072,Battle Master - Kyuukyoku no Senshitachi,バトル・マスター 究極の戦士たち,東芝EMI / Toshiba EMI / System Vision,SHVC-5B-(TOPN-2005),,1993-11-19,,Fighting,Versus
0073,Battle Pinball,バトルピンボール,バンプレスト / Banpresto,SHVC-ABPJ-JPN,,1995-02-24,,Pinball,
0074,Battle Racers,バトルレーサーズ,バンプレスト / Banpresto,SHVC-ACRJ-JPN,,1995-03-17,,Racing,Moto
0075,Battle Robot Retsuden,バトルロボット烈伝,バンプレスト / ウィンキーソフト / Banpresto / Winkysoft,SHVC-ABRJ-JPN,,1995-09-01,,Strategy,
0076,Battle Soccer - Field no Hasha,バトルサッカー フィールドの覇者,バンプレスト / パンドラボックス / Banpresto / Pandora Box,SHVC-B8,,1992-12-11,,Sports,Soccer
0077,Battle Soccer 2,バトルサッカー2,バンプレスト / パンドラボックス / Banpresto / Pandora Box,SHVC-ABSJ-JPN,,1994-11-25,,Sports,Soccer
0078,Battle Submarine,バトルサブマリン,パック・イン・ビデオ / Pack-in-Video,SHVC-A5LJ-JPN,,1995-12-22,,Strategy,
0079,Battle Tycoon - Flash Hiders SFX,バトルタイクーン,ライトスタッフ / Right Stuff,SHVC-AFHJ-JPN,,1995-05-19,,Fighting,Versus
0080,Battle Zeque Den,バトル ゼクウ 伝,アスミック / Asmik,SHVC-ZQ,,1994-07-15,,Beat 'em All,
0081,BattleTech,バトルテック,ビクター音楽産業 / Victor Musical Industries / Beam Software,SHVC-WM,,1993-02-26,,Simulation,Robot
0082,BattleTech 3050,バトルテック3050,アスク講談社 / アクティビジョン / Ask Kodansha / Tiburon Entertainment / Activision,SHVC-A35J-JPN,SNS-A35E-USA,1996-02-23,,Shooter,360
0083,Battletoads In Battlemaniacs,バトルトード イン バトルマニアック,メサイヤ（日本コンピューターシステム） / レア / Masiya (NCS) / RARE,SHVC-NX,SNS-NX,1994-01-07,1993-06-01,Beat 'em All,
0084,Beauty and The Beast,美女と野獣,ハドソン / Hudson / Virgin,SHVC-EW,SNS-EW,1994-07-08,1994-01-01,Platformer,
0085,Benkei Gaiden - Suna no Shou,すな 弁慶外伝 沙の章,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-BO,,1992-12-11,,RPG,
0086,Best Shot Pro Golf,ベストショットプロゴルフ,アスキー / ASCII,SHVC-AG6J,,1996-06-14,,Sports,Golf
0087,Big Ichigeki! Pachi Slot Daikoryaku 2 Universal Collection,ビッグ一撃！パチスロ大攻略2 ユニバーサル・コレクション,アスク講談社 / Ask Kodansha,SHVC-AUVJ-JPN,,1995-07-21,,Gambling,Pachinko
0088,Big Ichigeki! Pachi-Slot Daikouryaku,ビッグ一撃！パチスロ大攻略,アスク講談社 / Ask Kodansha,SHVC-APDJ-JPN,,1994-12-16,,Gambling,Pachinko
0089,Big Run - The Supreme 4WD Challenge,ビッグラン,ジャレコ / Jaleco,SHVC-BR,,1991-03-20,,Sports,Off Road Racing
0090,Bike Daisuki - Hashiri ya Tamashii,バイク大好き！走り屋 魂,メサイヤ（日本コンピューターシステム） / 元気 / Masiya (NCS) / Genki,SHVC-ARSJ-JPN,,1994-09-30,,Racing,Moto
0091,Bing Bing! Bingo,ビンビン！ビンゴ,ケイエスエス / KSS,SHVC-3K,,1993-12-22,,Gambling,Casino
0092,Bio Metal,バイオメタル,アテナ / Athena,SHVC-BV,SNS-BV,1993-03-19,1993-01-01,SHMUP,Horizontal
0093,Bishin Densetsu Zoku - The Legend of Bishin,美神伝説 Zoku,マジファクト / Magifact,SHVC-ZK,,1993-12-25,,Racing,Fun
0094,Bishoujo Janshi Suchie-Pie,美少女雀士スーチーパイ,ジャレコ / デーシーイー / Jaleco / DCE,SHVC-JS,,1993-07-30,,Table Game,
0095,Bishoujo Senshi Sailor Moon,美少女戦士セーラームーン,エンジェル / Angel,SHVC-AE,,1993-08-27,,Beat 'em All,
0096,Bishoujo Senshi Sailor Moon - Another Story,美少女戦士セーラームーン アナザーストーリー,エンジェル / Angel,SHVC-AASJ,,1995-09-22,,RPG,
0097,Bishoujo Senshi Sailor Moon R,美少女戦士セーラームーンR,バンダイ / Bandai,SHVC-2Q,,1993-12-29,,Beat 'em All,
0098,Bishoujo Senshi Sailor Moon S - Jousai Rantou! Shuyaku Shudatsusen,美少女戦士セーラームーンS 場外乱闘！？主役争奪戦,エンジェル / Angel,SHVC-AQSJ-JPN-(V-941817),,1994-12-16,,Fighting,Versus
0099,Bishoujo Senshi Sailor Moon S - Kondo ha Puzzle de Oshioki yo,美少女戦士セーラームーンS こんどはパズルでおしおきよ！！,バンダイ / トムクリエイト / Bandai / Tom Create,SHVC-3Q,,1994-07-15,,Puzzle,Matching
0100,Bishoujo Senshi Sailor Moon S - Kurukku-rin,美少女戦士セーラームーンS くるっくりん,バンダイ/トムクリエイト / Bandai / Tom Create,SHVC-AILJ-JPN,,1995-02-24,,Puzzle,Matching
0101,Bishoujo Senshi Sailor Moon Sailor Stars: Fuwa Fuwa Panic 2,美少女戦士セーラームーン セーラースターズ 〜ふわふわパニック2,バンダイ / Bandai,SFT-0112-JPN,,1996-09-27,,Puzzle,
0102,Bishoujo Senshi Sailor Moon Super S - Fuwa Fuwa Panic,美少女戦士セーラームーンSuper S ふわふわパニック,バンダイ / トムクリエイト / Bandai / Tom Create,SHVC-A9PJ-JPN,,1995-12-08,,Puzzle,Matching
0103,Bishoujo Senshi Sailor Moon Super S - Zenin Sanka!! Shuyaku Soudatsusen,美少女戦士セーラームーン 全員参加！！主役争奪戦,エンジェル / Angel,SHVC-AJQJ-JPN,,1996-03-29,,Fighting,Versus
0104,Bishoujo Wrestler Retsuden: Blizzard Yuki Rannyuu!!,美少女レスラー列伝 ブリザードYuki乱入！！,日本ソフトシステム / ケイエスエス / Nihon Soft System / KSS,SHVC-A3QJ-JPN,,1996-03-29,,Sports,Wrestling
0105,Blackthorne - Fukushuu no Kuroki Kyoku,ブラックソーン 復讐の黒き棘,ケムコ（コトブキシステム） / Kemco / Blizzard Entertainment,SHVC-6Z,SNS-6Z,1995-08-11,1995-08-10,Aventure,
0106,BlaZeon,ブレイゾン,アトラス / Atlus,SHVC-BL,SNS-BL,1992-07-24,1992-10-01,SHMUP,Horizontal
0107,Block Kuzushi,ブロックくずし,プランニングオフィスワダ（パウ）/ エルステッド / Planning Office WADA (POW) / Orested,SHVC-AB8J-JPN,,1995-11-17,,Arcade,Breakout
0108,Bokujou Monogatari,牧場物語,パック・イン・ビデオ / アムカス / Pack-in-Video / Amccus,SHVC-AYWJ-JPN,SNS-AYWE-USA,1996-08-09,,Simulation,Ferme
0109,Bomberman B-Daman,ボンバーマン ビーダマン,ハドソン / Hudson,SHVC-AH9J-JPN,,1996-12-20,,Puzzle,Bomberman
0110,Bombuzal,ボンバザル,ケムコ / コトブキシステム / Kemco / Mirror Soft,SHVC-BB,,1990-12-01,,Puzzle,
0111,Bonkers - Hollywood Daisakusen!,ボンカーズ ハリウッド大作戦！,カプコン / Capcom,SHVC-ABNJ-JPN,,1995-01-03,,Platformer,
0112,Bounty Sword,バウンティ・ソード,パイオニアLDC / ヘッドクォーターズ / Pioneer LDC / Head Quarters,SHVC-A2LJ-JPN,,1995-09-08,,RPG,
0113,Brain Lord,ブレインロード,エニックス / オプス / プロデュース / Enix / Opus / Produce!,SHVC-3B,SNS-3B,1994-01-28,1994-09-01,RPG,Action
0114,Brandish,ブランディッシュ,光栄 / 日本ファルコム / Koei / Falcom,SHVC-QF,SNS-QF,1994-06-25,1995-02-01,RPG,Action
0115,Brandish 2 - Expert,ブランディッシュ2 エキスパート,光栄 / 日本ファルコム / Koei / Falcom,SHVC-AQIJ-JPN,,1996-03-15,,RPG,Action
0116,Brandish 2 - The Planet Buster,ブランディッシュ2 ザ・プラネット・バスター,光栄 / 日本ファルコム / Koei / Falcom,SHVC-AQGJ-JPN,,1995-08-11,,RPG,Action
0117,Breath of Fire - Ryuu no Senshi,ブレス・オブ・ファイア 竜の戦士,カプコン ステイタス / Capcom,SHVC-BF,SNS-BF,1993-04-03,1994-10-10,RPG,
0118,Breath of Fire 2 - Shimei no Ko,ブレス オブ ファイアII —使命の子—,カプコン / Capcom,SHVC-AF2J-JPN,SNS-AF2E-USA,1994-12-02,1995-12-01,RPG,
0119,Bugs Bunny Hachamecha Daibouken,ルーニー・テューンズ バックス・バニー はちゃめちゃ大冒険,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-R7,,1994-06-24,,Platformer,
0120,Burai - Hachigyoku no Yuushi Densetsu,ブライ 「八玉の勇士伝説」,アイ・ジー・エス / パンドラボックス / リバーヒルソフト / IGS (Information Global Service) / Pandora Box / Riverhill Soft,SHVC-BI,,1993-01-14,,RPG,
0121,Bushi Seiryuuden - Futari no Yuusha,Bushi 青龍伝 〜二人の勇者〜,ティーアンドイーソフト / ゲームフリーク / T&E Soft / Game Freak,SHVC-AYUJ-JPN,,1997-01-17,,RPG,Action
0122,Cacoma Knight in Bizyland,カコマ☆ナイト,データム・ポリスター / Datam Polystar,SHVC-CC,SNS-CC,1992-11-21,1993-06-01,Puzzle,
0123,California Games 2,カリフォルニアゲームズII,ヘクト / Hector / EPYX / Silicon Soecery,SHVC-H9,,1993-03-12,,Sports,
0124,Cameltry,キャメルトライ,タイトー / Taito,SHVC-CT,,1992-06-26,,Puzzle,Arcade
0125,Captain Commando,キャプテンコマンドー,カプコン / Capcom,SHVC-QM,SNS-QM,1995-03-17,1995-08-01,Beat 'em All,
0126,Captain Tsubasa III - Koutei no Chousen,キャプテン翼III —皇帝の挑戦—,テクモ / Tecmo,SHVC-C3,,1992-07-17,,Sports,Soccer
0127,Captain Tsubasa IV - Pro no Rival-tachi,キャプテン翼IV —プロのライバルたち—,テクモ / Tecmo,SHVC-T4,,1993-04-03,,Sports,Soccer
0128,Captain Tsubasa J - The Way to World Youth,キャプテン翼J ザ ウェイ トゥ ワールドユース,バンダイ / Bandai,SHVC-ACVJ-JPN,,1995-11-17,,Sports,Soccer
0129,Captain Tsubasa V - Hasha no Shougou Campione,キャプテン翼V 覇者の称号カンピオーネ,テクモ / Tecmo,SHVC-AC5J-JPN,,1994-12-09,,Sports,Soccer
0130,Caravan Shooting Collection,キャラバン シューティングコレクション,ハドソン / テクモ / Hudson / Tecmo,SHVC-AS8J-JPN,,1995-07-07,,SHMUP,Vertical
0131,Card Master - Rimusaria no Fuuin,カードマスター リムサリアの封印,ハル研究所（HALKEN） / HAL Laboratory,SHVC-RF,,1992-03-27,,RPG,
0132,Carrier Aces,キャリアエース,ユーメディア（アローマ） / Yumedia (Aroma) / Gametek / Cybersoft,SHVC-ACAJ-JPN,SNS-ACAE-USA,1995-07-28,1995-07-27,Simulation,Avion
0133,Casper,キャスパー,日本ソフトシステム / ケイエスエス / Nihon Soft System / KSS,SHVC-AC4J-JPN,SNS-AXCE-USA,1997-03-14,1996-12-01,Platformer,
0134,CB Chara Wars - Ushinawareta Gag,CBキャラウォーズ 失われたギャ〜グ,バンプレスト / アルマニック / Banpresto / Almanic,SHVC-CV,,1992-08-28,,Beat 'em All,
0135,Champions World Class Soccer,チャンピオンズ ワールドクラスサッカー,アクレイムジャパン / Acclaim Japan / Park Place Prodictions,SHVC-8W,SNS-8W,1994-03-25,1994-04-01,Sports,Soccer
0136,Chaos Seed - Fuusui Kairouki,カオスシード 風水回廊記,タイトー / ネバーランド / Taito / Neverland,SHVC-AAHJ-JPN,,1996-03-15,,RPG,
0137,Chibi Maruko Chan - Mezase! Minami no Island!!,ちびまる子ちゃん めざせ！南のアイランド！！,コナミ / Konami,SHVC-AT8J-JPN,,1995-12-01,,Puzzle,
0138,Chibi Maruko-chan - Harikiri 365 Nichi no Maki,ちびまる子ちゃん「はりきり365日」の巻,エポック社 / 酒田エス・エー・エス / Epoch / Sakata SAS,SHVC-GO,,1991-12-13,,Table Game,
0139,Chinhai,陳牌,バンプレスト / バンプレ企画 / Banpresto,SHVC-APEJ-JPN,,1995-09-22,,Puzzle,
0140,Choplifter 3 - Rescue Survive,チョップリフターIII,ビクターエンタテインメント / ブロダーバンド / Victor Entertainment / Beam Software / Broderbund,SHVC-3C,,1994-09-09,,SHMUP,Horizontal
0141,Chou Mahou Tairiku Wozz,ウォズ 超魔法大陸WOZZ,ビー・ピー・エス / レッド / Bullet-Proof Software / RED,SHVC-AWOJ-JPN,,1995-08-04,,RPG,
0142,Chou Makai Taisen! Doraboc Chan,超魔界大戦！どらぼっちゃん,ナグザット / レッド / Naxat Soft / RED,SHVC-DO,,1993-03-19,,RPG,Action
0143,Chou Makaimura,超魔界村,カプコン / Capcom,SHVC-CM,,1991-10-04,,Platformer,Action
0144,Chouaniki - Bakuretsu Rantou Hen,超兄貴 ~爆烈乱闘篇~,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-AANJ-JPN,,1995-09-22,,Fighting,Versus
0145,Choujikuu Yousai Macross - Scrambled Valkyrie,超時空要塞マクロス スクランブルバルキリー,バンプレスト / ザムス/ウィンキーソフト / Banpresto / Zamuse / Winkysoft,SHVC-M9,,1993-10-29,,SHMUP,Horizontal
0146,Choukou Goukami Xardion,超攻合神 サーディオン,アスミック / Asmik,SHVC-XA,SNS-XA,1992-03-20,1992-01-01,Platformer,Action
0147,Chrono Trigger,クロノ・トリガー,スクウェア / Square,SHVC-ACTJ-JPN,SNS-ACTE-USA,1995-03-11,1995-09-27,RPG,
0148,Circuit USA,サーキットUSA,ヴァージンインタラクティブ エンターテインメント / Virgin Interactive Entertainment,SHVC-AKPJ-JPN,SNS-AKPE-USA,1995-06-30,,Racing,NASCAR
0149,Civilization - Sekai Shichi Daibunmei,シヴィライゼーション 世界七大文明,アスミック / マイクロプローズ / Asmik / Micro Prose,SHVC-EQ,SNS-EQ,1994-10-07,,Simulation,Histoire
0150,Classic Road,クラシック・ロード,ビクターエンタテインメント / イスコ/プログレス / Victor Entertainment / ISCO / Progress,SHVC-V7,,1993-10-29,,Sports,Horse
0151,Classic Road 2,クラシックロードII,ビクターエンタテインメント / イスコ / プログレス / Victor Entertainment / ISCO / Progress,SHVC-AV5J-JPN,,1995-02-24,,Sports,Horse
0152,Clock Tower,クロックタワー,ヒューマン / Human,SHVC-AJEJ-JPN,,1995-09-14,,Visual Novel,
0153,Clock Works,クロックワークス,徳間ジャパンコミュニケーションズ / 徳間書店 / アクシズ アート アミューズ / Tokuma Japan Communications / Tokuma Shoten / Axes Art Amuse / Spectrum HoloByte,SHVC-AQWJ-JPN,,1995-12-08,,Puzzle,
0154,Columns,コラムス,メディアファクトリー / マリーガル/セガ・エンタープライゼス / Media Factory / Marigul / Sega Enterprises,SHVC-BCLJ-JPN,,1999-08-01,,Puzzle,Matching
0155,Computer Nouryoku Kaiseki - Ultra Baken,コンピューター能力解析 ウルトラ馬券,カルチャーブレーン / Culture Brain,SHVC-AUBJ-JPN,,1995-05-26,,Sports,Horse
0156,Contra Spirits,魂斗羅スピリッツ（コントラ）,コナミ / コナミ エンタテイメント / Konami,SHVC-CS,,1992-02-28,,Run n' Gun,
0157,Conveni Wars Barcode Battler Senki - Super Senshi Shutsugeki Seyo!,バーコードバトラー 戦記 スーパー戦士 出撃せよ！,エポック社 / 酒田エス・エー・エス / Epoch / Sakata SAS,SHVC-B5,,1993-05-14,,Strategy,
0158,Cool Spot,クールスポット,ヴァージンゲーム / Virgin Games,SHVC-C8,SNS-C8,1993-12-10,1993-09-01,Platformer,
0159,Coron Land,ころんらんど,ユーメディア（アローマ） / Yumedia (Aroma),SHVC-ACLJ-JPN,,1995-08-25,,Puzzle,Action
0160,Cosmo Gang - The Puzzle,コズモギャング ザ パズル,ナムコ / ナムコット / Namco / Namcot,SHVC-CI,,1993-02-26,,Puzzle,Tetris
0161,Cosmo Gang - The Video,コズモギャング ザ ビデオ,ナムコ / ナムコット / Namco / Namcot,SHVC-CA,,1992-10-29,,Puzzle,Shooter
