Titre en anglais,Titre en Japonais,Editeurs,Numéro de série,Date,Main Category,Sub Category
Benkei Gaiden - Suna no Shou,すな 弁慶外伝 沙の章,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-BO,1992-12-11,RPG,
Best Shot Pro Golf,ベストショットプロゴルフ,アスキー / ASCII,SHVC-AG6J,1996-06-14,Sports,Golf
Big Ichigeki! Pachi Slot Daikoryaku 2 Universal Collection,ビッグ一撃！パチスロ大攻略2 ユニバーサル・コレクション,アスク講談社 / Ask Kodansha,SHVC-AUVJ-JPN,1995-07-21,Gambling,Pachinko
Big Ichigeki! Pachi-Slot Daikouryaku,ビッグ一撃！パチスロ大攻略,アスク講談社 / Ask Kodansha,SHVC-APDJ-JPN,1994-12-16,Gambling,Pachinko
Big Run - The Supreme 4WD Challenge,ビッグラン,ジャレコ / Jaleco,SHVC-BR,1991-03-20,Sports,Off Road Racing
Bike Daisuki - Hashiri ya Tamashii,バイク大好き！走り屋 魂,メサイヤ（日本コンピューターシステム） / 元気 / Masiya (NCS) / Genki,SHVC-ARSJ-JPN,1994-09-30,Racing,Moto
Bing Bing! Bingo,ビンビン！ビンゴ,ケイエスエス / KSS,SHVC-3K,1993-12-22,Gambling,Casino
Bio Metal,バイオメタル,アテナ / Athena,SHVC-BV / SNS-BV,1993-03-19 / 1993-01-01,SHMUP,Horizontal
Bishin Densetsu Zoku - The Legend of Bishin,美神伝説 Zoku,マジファクト / Magifact,SHVC-ZK,1993-12-25,Racing,Fun
Bishoujo Janshi Suchie-Pie,美少女雀士スーチーパイ,ジャレコ / デーシーイー / Jaleco / DCE,SHVC-JS,1993-07-30,Table Game,
Bishoujo Senshi Sailor Moon,美少女戦士セーラームーン,エンジェル / Angel,SHVC-AE,1993-08-27,Beat 'em All,
Bishoujo Senshi Sailor Moon - Another Story,美少女戦士セーラームーン アナザーストーリー,エンジェル / Angel,SHVC-AASJ,1995-09-22,RPG,
Bishoujo Senshi Sailor Moon R,美少女戦士セーラームーンR,バンダイ / Bandai,SHVC-2Q,1993-12-29,Beat 'em All,
Bishoujo Senshi Sailor Moon S - Jousai Rantou! Shuyaku Shudatsusen,美少女戦士セーラームーンS 場外乱闘！？主役争奪戦,エンジェル / Angel,SHVC-AQSJ-JPN-(V-941817),1994-12-16,Fighting,Versus
Bishoujo Senshi Sailor Moon S - Kondo ha Puzzle de Oshioki yo,美少女戦士セーラームーンS こんどはパズルでおしおきよ！！,バンダイ / トムクリエイト / Bandai / Tom Create,SHVC-3Q,1994-07-15,Puzzle,Matching
Bishoujo Senshi Sailor Moon S - Kurukku-rin,美少女戦士セーラームーンS くるっくりん,バンダイ/トムクリエイト / Bandai / Tom Create,SHVC-AILJ-JPN,1995-02-24,Puzzle,Matching
Bishoujo Senshi Sailor Moon Sailor Stars: Fuwa Fuwa Panic 2,美少女戦士セーラームーン セーラースターズ 〜ふわふわパニック2,バンダイ / Bandai,SFT-0112-JPN,1996-09-27,Puzzle,
Bishoujo Senshi Sailor Moon Super S - Fuwa Fuwa Panic,美少女戦士セーラームーンSuper S ふわふわパニック,バンダイ / トムクリエイト / Bandai / Tom Create,SHVC-A9PJ-JPN,1995-12-08,Puzzle,Matching
Bishoujo Senshi Sailor Moon Super S - Zenin Sanka!! Shuyaku Soudatsusen,美少女戦士セーラームーン 全員参加！！主役争奪戦,エンジェル / Angel,SHVC-AJQJ-JPN,1996-03-29,Fighting,Versus
Bishoujo Wrestler Retsuden: Blizzard Yuki Rannyuu!!,美少女レスラー列伝 ブリザードYuki乱入！！,"日本ソフトシステム, ケイエスエス / Nihon Soft System, KSS",SHVC-A3QJ-JPN,1996-03-29,Sports,Wrestling
Blackthorne - Fukushuu no Kuroki Kyoku,ブラックソーン 復讐の黒き棘,ケムコ（コトブキシステム） / Kemco / Blizzard Entertainment,SHVC-6Z / SNS-6Z,1995-08-11 / 1995-08-10,Aventure,
BlaZeon,ブレイゾン,アトラス / Atlus,SHVC-BL / SNS-BL,1992-07-24 / 1992-10-01,SHMUP,Horizontal
Block Kuzushi,ブロックくずし,プランニングオフィスワダ（パウ）/ エルステッド / Planning Office WADA (POW) / Orested,SHVC-AB8J-JPN,1995-11-17,Arcade,Breakout
Bokujou Monogatari,牧場物語,パック・イン・ビデオ / アムカス / Pack-in-Video / Amccus,SHVC-AYWJ-JPN / SNS-AYWE-USA,1996-08-09,Simulation,Ferme
Bomberman B-Daman,ボンバーマン ビーダマン,ハドソン / Hudson,SHVC-AH9J-JPN,1996-12-20,Puzzle,Bomberman
Bombuzal,ボンバザル,ケムコ / （コトブキシステム） / Kemco / Mirror Soft,SHVC-BB,1990-12-01,Puzzle,
Bonkers - Hollywood Daisakusen!,ボンカーズ ハリウッド大作戦！,カプコン / Capcom,SHVC-ABNJ-JPN,1995-01-03,Platformer,
Bounty Sword,バウンティ・ソード,パイオニアLDC / ヘッドクォーターズ / Pioneer LDC / Head Quarters,SHVC-A2LJ-JPN,1995-09-08,RPG,
Brain Lord,ブレインロード,"エニックス / オプス, プロデュース / Enix / Opus, Produce!",SHVC-3B / SNS-3B,1994-01-28 / 1994-09-01,RPG,Action
Brandish,ブランディッシュ,光栄 / 日本ファルコム / Koei / Falcom,SHVC-QF / SNS-QF,1994-06-25 / 1995-02-01,RPG,Action
Brandish 2 - Expert,ブランディッシュ2 エキスパート,光栄 / 日本ファルコム / Koei / Falcom,SHVC-AQIJ-JPN,1996-03-15,RPG,Action
Brandish 2 - The Planet Buster,ブランディッシュ2 ザ・プラネット・バスター,光栄 / 日本ファルコム / Koei / Falcom,SHVC-AQGJ-JPN,1995-08-11,RPG,Action
Breath of Fire - Ryuu no Senshi,ブレス・オブ・ファイア 竜の戦士,"カプコン, ステイタス / Capcom",SHVC-BF / SNS-BF,1993-04-03 / 1994-10-10,RPG,
Breath of Fire 2 - Shimei no Ko,ブレス オブ ファイアII —使命の子—,カプコン / Capcom,SHVC-AF2J-JPN / SNS-AF2E-USA,1994-12-02 / 1995-12-01,RPG,
Bugs Bunny Hachamecha Daibouken,ルーニー・テューンズ バックス・バニー はちゃめちゃ大冒険,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-R7,1994-06-24,Platformer,
Burai - Hachigyoku no Yuushi Densetsu,ブライ 「八玉の勇士伝説」,アイ・ジー・エス / パンドラボックス / リバーヒルソフト / IGS (Information Global Service) / Pandora Box / Riverhill Soft,SHVC-BI,1993-01-14,RPG,
Bushi Seiryuuden - Futari no Yuusha,Bushi 青龍伝 〜二人の勇者〜,ティーアンドイーソフト / ゲームフリーク / T&E Soft / Game Freak,SHVC-AYUJ-JPN,1997-01-17,RPG,Action
Cacoma Knight in Bizyland,カコマ☆ナイト,データム・ポリスター / Datam Polystar,SHVC-CC / SNS-CC,1992-11-21 / 1993-06-01,Puzzle,
California Games 2,カリフォルニアゲームズII,"ヘクト / hector / EPYX, Silicon Soecery",SHVC-H9,1993-03-12,Sports,
Cameltry,キャメルトライ,タイトー / Taito,SHVC-CT,1992-06-26,Puzzle,Arcade
Captain Commando,キャプテンコマンドー,カプコン / Capcom,SHVC-QM / SNS-QM,1995-03-17 / 1995-08-01,Beat 'em All,
Captain Tsubasa III - Koutei no Chousen,キャプテン翼III —皇帝の挑戦—,テクモ / Tecmo,SHVC-C3,1992-07-17,Sports,Soccer
Captain Tsubasa IV - Pro no Rival-tachi,キャプテン翼IV —プロのライバルたち—,テクモ / Tecmo,SHVC-T4,1993-04-03,Sports,Soccer
Captain Tsubasa J - The Way to World Youth,キャプテン翼J ザ ウェイ トゥ ワールドユース,バンダイ / Bandai,SHVC-ACVJ-JPN,1995-11-17,Sports,Soccer
Captain Tsubasa V - Hasha no Shougou Campione,キャプテン翼V 覇者の称号カンピオーネ,テクモ / Tecmo,SHVC-AC5J-JPN,1994-12-09,Sports,Soccer
