uid,Titre en anglais,Titre en Japonais,Editeurs,Numéro de série,Date,Main Category,Sub Category
8c72650e-24c5-450e-a50a-0cae3b5fa311,Nekketsu Tairiku Burning Heroes,熱血大陸 バーニング ヒーローズ,エニックス / ジェイフォース / Enix / J-Force,SHVC-AEBJ-JPN,1995-03-17,RPG,
73f1575d-b884-4faa-9de7-67991ff948e2,Neugier - Umi to Kaze no Koudou,ノイギーア 〜海と風の鼓動〜,ウルフチーム（日本テレネット） / Wolfteam (Telenet Japan),SHVC-W3,1993-03-26,RPG,Action
9c7632eb-61bb-400c-9a49-91c4c3323ef5,New 3D Golf Simulation - Devil's Course - 3D Golf Simulation,デビルズコース,ティーアンドイーソフト / T&E Soft,SHVC-GT,1993-03-05,Sports,Golf
29195c59-22aa-44bc-87f9-64a3ba33abb4,New 3D Golf Simulation - Pebble Beach no Hatou,ペブルビーチの波濤,ティーアンドイーソフト / T&E Soft,SHVC-GB,1992-04-10,Sports,Golf
70038f04-4e74-4bf7-9b75-ddb53bbbe41d,New 3D Golf Simulation - Waialae no Kiseki,ワイアラエの奇蹟,ティーアンドイーソフト / T&E Soft,SHVC-GC,1992-09-18,Sports,Golf
dab3f6e7-753e-43f3-866d-50281fc16d49,New Yatterman - Nan Dai Kan Dai Yajirobee,タイム･ボカンシリーズ NEWヤッターマン 難題かんだいヤジロベエ,ユタカ / トムクリエイト / Yutaka / Tom Create,SHVC-A4YJ-JPN,1996-03-22,Fighting,Versus
c1fc2360-5a6b-42ff-90fb-3b54a83bffc0,Newman-Haas Indy Car Featuring Nigel Mansell,ナイジェルマンセル・インディカー,アクレイムジャパン / Acclaim Japan / Gremlin Graphics Software,SHVC-ANMJ-JPN / SNS-ANME-USA,1994-12-16,Racing,Formule 1
755f0743-2a6b-42e9-95e1-86de1a64c04d,NFL Football,NFLフットボール,"コナミ / コナミ エンタテイメント / Konami / Konami Entertainment, Park Place Prodictions",SHVC-NF / SNS-NF,1993-09-17 / 1993-01-01,Sports,Football
1ce3dba4-577f-4bfa-9ff2-f98405c54ed4,NFL Football,NFLフットボール,"コナミ / コナミ エンタテイメント / Konami / Konami Entertainment, Park Place Prodictions",SHVC-NF / SNS-NF,1993-09-17 / 1993-01-01,Sports,Football
3f42542b-40cc-4162-9d53-88c3300bbfcc,NFL Quarterback Club '95,クォーターバッククラブ'95,"アクレイムジャパン / Acclaim Japan / Ljn, Iguana Entertainment",SHVC-Q9 / SNS-Q9,1995-02-24,Sports,Football
ec48bcf9-07ec-4f57-9759-578fee5899df,NFL Quarterback Club '96,NFLクォーターバッククラブ'96,"アクレイムジャパン / Acclaim Japan / Ljn, Iguana Entertainment",SHVC-AQBJ-JPN / SNS-AQBE-USA,1996-03-01 / 1995-01-01,Sports,Football
e3d1e0cc-ddb4-42aa-9c3c-0dbd6d368d57,NHL Pro Hockey '94,NHLプロホッケー'94,エレクトロニック・アーツ・ビクター / Electronic Arts Victor,SHVC-4H,1994-04-08,Sports,Hockey
fdf016fe-6a4d-4932-80dc-d4698115fb7e,Nice de Shot World Course Selections,ナイスDEショット,アスク講談社 / 魔法株式会社 / Ask Kodansha / Magical Company,SHVC-NN,1994-04-29,Sports,Golf
c8b369bf-bcfa-4e63-8253-64c5d6a217e9,Nichibutsu Arcade Classics,ニチブツ アーケード クラシックス,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AACJ-JPN,1995-05-26,Arcade,Retro
0ff17a1e-991c-46da-a5ee-01d9c14c918d,Nichibutsu Arcade Classics 2 - Heiankyo Alien,ニチブツアーケードクラシックス2 平安京エイリアン,日本物産（ニチブツ） / 日本シスコン / Nihon Bussan (Nichibutsu) / Nihon Syscom,SHVC-AAEJ-JPN,1995-12-15,Arcade,Retro
b8f266d0-af29-483f-b967-69cab0521802,Nichibutsu Collection 1,"ニチブツコレクション1 攻略カジノバー, 祗園花",日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AECJ-JPN,1996-11-29,Table Game,Cards
805d52c3-0ad9-4ada-b6d9-41ab9e0edd6c,Nichibutsu Collection 2,ニチブツコレクション2 麻雀繁盛記 五目・将棋—定跡研究篇—,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-A2BJ-JPN,1996-12-27,Table Game,
